workpiece,alpha,beta,workpiece_feed_speed,hitpoint_offset_parallel,nozzle_offset_perpendicular,nozzle_impulse_force,sliding_distance,Successfully_Re-oriented,Unsuccessfully_Re-oriented,Not_Reoriented,Not_Settled,Fell_Off_Slide,orientation_diff_euler_x,orientation_diff_euler_y,orientation_diff_euler_z,orientation_diff_axis_angle_w,orientation_diff_axis_angle_x,orientation_diff_axis_angle_y,orientation_diff_axis_angle_z
Teil_2,5,5,0,0.0,0.0,4,3.5710067078471184,16,0,13,21,0,113.9101719612055,4.076378476654827,84.17205376682071,136.8382476148241,0.5065381014100618,0.6011457013706302,0.3503666184018979
Teil_2,5,5,0,0.0,0.0,5,3.398044541478157,16,0,13,21,0,101.24598524707179,7.157523227397563,104.23308642586798,131.56261959861953,0.4653739473074572,0.6659885565035596,0.4802776602858842
Teil_2,5,5,0,0.0,0.0,6,2.3397917120080245,19,0,4,27,0,91.00008059726379,25.96476918461856,75.64410748711744,118.39027718004024,0.4386140087009633,0.6434047025124802,0.33329002895553544
Teil_2,5,5,0,0.0,0.0,7,3.0486556610890796,28,0,8,14,0,125.85193903627895,11.078103869621158,72.83551201924921,139.40417624218267,0.6008129321210548,0.5596886382341065,0.22264158872411957
Teil_2,5,5,0,0.0,0.0,8,3.2547141859928765,24,0,9,17,0,112.75869221624741,9.091213705559026,72.64634460498395,133.44301155838045,0.5789833794143339,0.518661180634656,0.3285912436026867
Teil_2,5,5,0,0.0,0.0,9,3.0322492867708206,29,0,5,16,0,109.5170432348175,-3.119420917877719,85.1231138075347,136.70617928747603,0.5895515839473373,0.5296413972500702,0.41943599359821887
Teil_2,5,5,0,0.0,0.0,10,3.3916178375482557,10,0,17,23,0,120.54830311532096,-6.14605732121573,96.41198414635332,149.1089579564082,0.5304815625124089,0.5709669511575194,0.3858604968595281
Teil_2,5,5,0,0.0,0.01,4,3.396897384098598,21,0,6,23,0,143.91729881947714,0.30888054020811656,94.30753305446837,155.2870608323562,0.5751443258004904,0.6417969406699537,0.18753454825221552
Teil_2,5,5,0,0.0,0.01,5,3.1070991212671455,22,0,9,19,0,93.95443244316472,11.831328877609593,99.6905382497389,125.06540112727698,0.4169438339699232,0.6793991909777268,0.44784413136489437
Teil_2,5,5,0,0.0,0.01,6,2.9818326725679287,17,0,11,22,0,123.34598071169731,-6.026318556774575,93.49803012690168,148.01739634454862,0.5782508750565184,0.5463763938766835,0.3452908103257673
Teil_2,5,5,0,0.0,0.01,7,2.4801447266026546,19,0,8,23,0,111.83202575383739,4.567495795710223,75.20236255861823,135.8538392626096,0.5177102709427851,0.5183420031412709,0.2931745240668422
Teil_2,5,5,0,0.0,0.01,8,3.1400720399359,23,0,8,19,0,110.46218350340091,-3.5890357073292196,90.20402579022151,138.65571416104484,0.5411643256253766,0.5387367852323209,0.42640601221575986
Teil_2,5,5,0,0.0,0.01,9,2.8670604681968688,25,0,8,17,0,126.93607034486814,7.044536211914243,106.2722013545892,145.80158683800715,0.46699288223496294,0.7067553221547628,0.31641162554669877
Teil_2,5,5,0,0.0,0.01,10,2.867338582225468,23,0,3,24,0,120.64876377375792,2.8482086639328816,77.88585882514016,139.45804214315672,0.5930798553390328,0.548348072300811,0.29728123568171944
Teil_2,5,5,0,0.0,0.02,4,3.149201367910092,13,0,12,25,0,116.42103094025379,12.046272416823209,75.01267602228896,134.57721307397466,0.5846338466555525,0.5232774075595154,0.3110277563385347
Teil_2,5,5,0,0.0,0.02,5,3.185506089226059,23,0,2,25,0,110.5448382916928,0.37253247274464346,98.9923780647475,141.74136937212998,0.4843159410208416,0.5804248021128043,0.4052334094597769
Teil_2,5,5,0,0.0,0.02,6,3.4863400186101594,24,0,6,20,0,105.43605594581665,7.357727100943944,86.37561471285852,130.1012171639928,0.530105477002553,0.5719654514669618,0.3857947176783785
Teil_2,5,5,0,0.0,0.02,7,3.5397287513080395,19,0,7,24,0,132.35165802644596,-12.643278863255816,74.9510240574323,156.96856517992657,0.668137624074945,0.4082705273233196,0.3212092687262261
Teil_2,5,5,0,0.0,0.02,8,3.4411896497011183,20,0,13,17,0,123.74629063523787,1.5061248171616497,81.14858472602292,138.95647133801174,0.6027960480985854,0.5559720118725927,0.2492271858366181
Teil_2,5,5,0,0.0,0.02,9,3.2964890506118536,22,0,11,17,0,107.45062765955386,10.761057126584847,83.03512519533616,136.88130911973383,0.5128094337628044,0.5584536574052523,0.38545192277902535
Teil_2,5,5,0,0.0,0.02,10,3.553522602869914,26,0,11,13,0,126.65425355959108,0.770480536498731,93.92359363557817,150.65088930618333,0.516416265003825,0.6168872118543363,0.24703056862164707
Teil_2,5,5,0,0.0,0.03,4,3.1312585845589638,16,0,7,27,0,128.24227750528112,-2.1651134675131805,78.65229063391389,150.45437301125358,0.6147380988051346,0.5226768708458128,0.29315967721275193
Teil_2,5,5,0,0.0,0.03,5,3.125044273212552,16,0,14,20,0,111.92183644813889,15.521467529698466,93.51515287495704,129.754893652097,0.47505040304351287,0.7080907077463752,0.33006741103749104
Teil_2,5,5,0,0.0,0.03,6,3.0789119518095895,28,0,5,17,0,104.70700185001465,24.047197974533727,86.35507321547287,122.70201520501732,0.4184965325421956,0.6907102237527523,0.3311206772358667
Teil_2,5,5,0,0.0,0.03,7,3.0966397893839868,29,0,5,16,0,119.50316875392612,3.093045573516676,71.8014337595407,144.13464114096988,0.6142811285121358,0.4635293507222831,0.3531562860644879
Teil_2,5,5,0,0.0,0.03,8,3.0904025909091746,21,0,7,22,0,108.93575637506956,0.21315359343854662,71.27821768223053,135.44489614045744,0.6067346683177923,0.4843078645840646,0.3845923755755291
Teil_2,5,5,0,0.0,0.03,9,2.971367466130427,28,0,6,16,0,120.01297839155333,-2.448481999025257,80.94648113617207,142.46126635680088,0.5592566629152758,0.526235478674217,0.3567169610808971
Teil_2,5,5,0,0.0,0.03,10,3.427122448384762,20,0,9,21,0,95.18400222803538,-5.753333480837499,86.98094205108998,133.61405345197755,0.519171001709957,0.5155599840329781,0.4707266281697068
Teil_2,5,5,0,0.0,0.04,4,3.6534541381729975,9,0,19,22,0,135.23443380779224,-7.890647792945212,89.80410119817823,153.25600149832084,0.5811358423041241,0.6084773907371441,0.2996364862551549
Teil_2,5,5,0,0.0,0.04,5,3.609401908185747,18,0,16,16,0,106.94550131480663,10.068190952762611,88.40199248557809,130.53869347739322,0.5202747921516573,0.5897982229779442,0.37535625946752826
Teil_2,5,5,0,0.0,0.04,6,2.772862110286951,16,0,18,16,0,117.62741300882749,10.03874405600408,88.0431521424028,136.19421701981827,0.5376732767889993,0.6640938057215351,0.3253746533721868
Teil_2,5,5,0,0.0,0.04,7,3.3506478468577066,18,0,17,15,0,131.23994388900914,10.334321121878295,84.2393869848132,141.97518354697013,0.5276213870666203,0.6051095109155443,0.28083386283136486
Teil_2,5,5,0,0.0,0.04,8,3.030377894639969,12,0,23,15,0,118.45119170976591,12.95970685280592,84.86580600649404,128.58981545487055,0.5628252844036105,0.598222689947163,0.3422792386191364
Teil_2,5,5,0,0.0,0.04,9,3.1827393919229507,12,0,23,15,0,123.1794151383096,-6.0424507253933895,91.47057992553398,148.87033068931484,0.5625672298958623,0.5834711404096143,0.33097363272274516
